sample,code,temp,pH,Cl,Br,SO4,Na,K,Mg,Ca,Mn,Fe,Co,Ni,Cu,zn,As,Rb,Sr,Zr,Mo,Cs,Ba,La,Ce,Nd,W,U
SF201023_G_F,SF201023_G_F,68.9,5.61,19033.28,64.18,2057.21,11198.62,408.11,965.32,498.51,1.131211,3.361098,NA,NA,0.001617,0.0479,2.446793,2.424394,13.07401,NA,0.002394,1.645036,0.200079,7.6E-05,0.000107,4.5E-05,0.011826,0.000153
CM201023_F,CM201023_F,27,6.3,20846.61,72.06,2868.06,12130.2,389.49,1366.48,437.72,0.0037,0.011037,NA,NA,0.00126,0.03308,0.020202,0.147709,10.23195,NA,0.011593,0.005425,0.008827,2.5E-05,NA,NA,2.9E-05,0.003904
SF200622_G_F,SF200622_G_F,71,5.54,18952.08,64.86,2316.92,11110.85,380.81,1096.41,446.81,1.183603,3.590772,NA,0.008685,NA,0.186116,1.908748,2.430386,13.26233,0.000412,0.001486,1.729868,0.216052,0.000183,0.0005,0.00018,0.012198,0.000194
BC200904_F,BC200904_F,26.4,6.3,10030.06,34.27,1377.55,5817.65,195.81,606.87,460.67,0.047346,0.097862,0.001774,NA,NA,0.193533,0.011163,0.120608,8.110929,0.001031,0,0.006474,0.049267,0.000318,0.000635,NA,0.000187,0.000318
CM200723_F,CM200723_F,26.3,5.87,21094.04,72.48,2909.92,12303.49,397.03,1395.49,465.66,0.061217,0.113124,0.010055,NA,0.003684,0.456657,0.021972,0.157602,11.4028,0.000753,0.010804,0.002033,0.029018,0.000375,0.00069,0.000421,NA,0.003654
GB200622_F,GB200622_F,28,5.33,19842.83,68.07,2206.67,11722.55,597.37,1026.25,482.27,3.099014,11.12343,0.0007,0.008949,NA,0.170947,0.512667,3.237141,11.48762,NA,0.000985,0.170143,0.055521,0.001378,0.00155,0.000382,0.000502,NA
SF201023_EF_F,SF201023_EF_F,34,5.25,20741.32,72.2,2920.13,12304.44,403.69,1383.79,436.77,0.007141,0.033976,NA,0.001951,0.000404,0.023478,0.01074,0.145538,10.71223,NA,0.011988,0.004302,NA,NA,0.000138,NA,NA,0.003936
